Accident_Index,Location_Easting_OSGR ,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
2.01E+12,459250,450820,-1.098669,53.950095,12,2,3,1,20/02/2007,3,0,189,E06000014,6,0,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01013417
2.01E+12,461100,451400,-1.070368,53.955092,12,2,2,3,19/02/2007,2,0.009027778,189,E06000014,6,0,6,30,7,2,6,0,0,4,5,1,2,0,0,1,1,E01013367
2.01E+12,466630,453100,-0.985738,53.969688,12,2,2,1,19/02/2007,2,0.038194444,189,E06000014,3,166,6,60,8,4,-1,-1,0,0,1,1,1,0,0,2,1,E01013352
2.01E+12,467150,451510,-0.978162,53.955332,12,2,1,1,19/02/2007,2,0.020833333,189,E06000014,3,1079,6,60,0,-1,-1,0,0,0,1,1,2,0,0,2,1,E01013351
2.01E+12,456850,452070,-1.135002,53.961597,12,2,2,1,17/02/2007,7,0.006944444,189,E06000014,6,0,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01013337
2.01E+12,460910,452520,-1.07304,53.96518,12,2,1,1,39143,7,0.024305556,189,E06000014,3,1036,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01013382
2.01E+12,458540,452510,-1.109163,53.965363,12,2,2,3,25/01/2007,5,0.03125,189,E06000014,6,0,6,30,9,2,6,0,0,5,4,1,1,1,0,1,1,E01013392
2.01E+12,456770,454010,-1.135861,53.979041,12,2,2,1,38473,4,0.016666667,189,E06000014,3,1237,1,60,1,4,6,0,0,0,1,4,1,0,0,2,1,E01013422
2.01E+12,458690,449600,-1.107435,53.939195,12,2,2,1,23/01/2007,3,0.03125,189,E06000014,3,1036,6,30,3,2,6,0,0,4,4,1,1,0,0,1,1,E01013357
2.01E+12,456840,450460,-1.135454,53.947129,12,2,1,1,16/01/2007,3,0.011805556,189,E06000014,6,0,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01013446
2.01E+12,462690,458910,-1.044598,54.022392,12,2,1,2,15/01/2007,2,0.013888889,189,E06000014,6,0,6,60,0,-1,-1,0,0,0,4,1,1,0,0,2,1,E01013436
2.01E+12,463050,460580,-1.038758,54.037356,12,2,2,2,39173,5,0.027777778,189,E06000014,6,0,6,30,9,4,6,0,0,0,1,1,1,0,0,2,1,E01013438
2.01E+12,459356,453366,-1.09656,53.972963,12,2,2,1,20/12/2012,5,0.034722222,189,E06000014,5,419,6,30,3,4,6,3210,0,0,4,5,2,0,0,1,1,E01013346
2.01E+12,460310,451684,-1.08235,53.957737,12,2,1,1,15/12/2012,7,0.010416667,189,E06000014,4,1227,6,30,9,2,6,0,0,4,4,1,2,0,0,1,1,E01013366
2.01E+12,462796,456160,-1.043547,53.997666,12,2,1,1,41102,6,0.007638889,189,E06000014,5,416,6,60,0,-1,-1,0,0,0,4,1,2,0,0,2,1,E01013409
2.01E+12,460872,450685,-1.073985,53.948694,12,2,1,1,41041,4,0.010416667,189,E06000014,3,19,6,30,3,4,3,19,0,0,1,1,2,0,0,1,1,E01013364
2.01E+12,459760,453770,-1.090322,53.976547,12,2,2,1,28/11/2012,4,0.002083333,189,E06000014,6,3111,6,30,1,4,6,0,0,0,1,2,2,0,0,1,1,E01013349
2.01E+12,456300,448490,-1.144043,53.929484,12,2,4,1,38687,4,0.019444444,189,E06000014,3,1237,6,60,0,-1,-1,0,0,0,6,5,2,0,0,2,-1,E01013421
2.01E+12,460967,451117,-1.072451,53.952565,12,2,1,1,16/11/2012,6,0.003472222,189,E06000014,3,19,6,30,6,2,6,0,0,5,1,1,1,0,0,1,1,E01013364
2.01E+12,457610,454930,-1.12288,53.987216,12,2,3,1,13/01/2005,5,0.018055556,189,E06000014,3,1237,6,60,1,4,3,19,0,0,1,1,1,0,0,2,1,E01013432
2.01E+12,460947,450969,-1.072785,53.951237,12,2,1,1,41163,6,0.017361111,189,E06000014,3,19,6,30,3,4,6,0,0,8,4,1,2,0,0,1,1,E01013364
2.01E+12,467615,448883,-0.971657,53.931664,12,2,1,1,41101,4,0.003472222,189,E06000014,4,1228,6,60,0,-1,-1,0,0,0,1,1,2,0,0,2,1,E01013451
2.01E+12,461759,447414,-1.061132,53.919193,12,2,1,1,41040,2,0.038194444,189,E06000014,3,19,6,60,0,-1,-1,0,0,0,6,1,2,0,0,2,1,E01013450
2.01E+12,455943,453364,-1.148588,53.973325,12,2,2,1,22/10/2012,2,0.029861111,189,E06000014,3,59,6,40,3,4,6,2410,0,0,1,1,2,0,0,2,1,E01013426
2.01E+12,461507,451331,-1.064181,53.954424,12,2,2,1,20/10/2012,7,0.020833333,189,E06000014,3,1079,6,30,3,4,6,0,0,0,1,1,1,0,0,1,2,E01013363
2.01E+12,461540,460280,-1.061872,54.034842,12,2,2,2,15/01/2005,7,0.014583333,189,E06000014,6,0,6,60,0,-1,-1,0,0,0,6,2,2,0,0,2,-1,E01013376
2.01E+12,463620,456370,-1.030935,53.999452,12,2,1,1,18/01/2005,3,0.007638889,189,E06000014,6,0,6,60,0,-1,-1,0,0,0,1,1,4,0,0,2,-1,E01013409
2.01E+12,460364,451909,-1.081482,53.959753,12,2,1,2,20/10/2012,7,0.038194444,189,E06000014,6,7210,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01013367
2.01E+12,459631,451331,-1.092765,53.954643,12,2,1,1,41253,6,0.023611111,189,E06000014,3,1036,6,30,0,-1,-1,0,0,4,4,1,1,0,0,1,1,E01013415
2.01E+12,455877,451506,-1.149934,53.956634,12,2,2,1,41100,1,0.020833333,189,E06000014,3,1237,6,60,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01013422
2.01E+12,461773,448042,-1.060792,53.924835,12,2,1,1,41100,1,0.026388889,189,E06000014,3,64,3,70,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01013365
2.01E+12,459997,449750,-1.087499,53.940393,12,2,2,1,23/09/2012,1,0.032638889,189,E06000014,5,289,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01013412
2.01E+12,457674,454802,-1.121929,53.986058,12,2,2,2,19/09/2012,4,0.034722222,189,E06000014,3,19,6,40,3,4,6,3210,0,8,1,1,1,0,0,1,1,E01013432
2.01E+12,459770,450969,-1.090718,53.951374,12,2,3,2,13/09/2012,5,0.018055556,189,E06000014,3,59,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01013416
2.01E+12,452620,451730,-1.199526,53.958988,12,2,2,3,23/01/2005,1,0.013888889,189,E06000014,4,1224,6,60,0,-1,-1,0,0,0,6,1,2,0,0,2,1,E01013421
2.01E+12,464931,451160,-1.012047,53.95247,12,2,4,1,41161,1,0.010416667,189,E06000014,3,64,3,70,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01013351
2.01E+12,462410,458170,-1.049023,54.015776,12,2,3,3,26/01/2005,4,0.000694444,189,E06000014,6,0,6,60,0,-1,-1,0,0,0,6,1,2,0,0,2,-1,E01013436
2.01E+12,461052,459892,-1.069399,54.031413,12,2,2,1,41008,3,0.024305556,189,E06000014,6,1810,6,60,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01013376
2.01E+12,463854,455311,-1.027588,53.989907,12,2,3,2,41008,3,0.039583333,189,E06000014,3,1237,6,40,1,2,3,1036,0,0,1,1,1,0,0,2,1,E01013409
2.01E+12,464441,456299,-1.018427,53.998713,12,2,1,1,25/08/2012,7,0.003472222,189,E06000014,6,1410,6,60,0,-1,-1,0,0,0,6,2,2,0,0,2,1,E01013409
2.01E+12,461839,451961,-1.058995,53.960046,12,2,1,2,16/08/2012,5,0.039583333,189,E06000014,6,7510,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01013384
2.01E+12,460144,450882,-1.085037,53.950549,12,2,3,1,27/07/2012,6,0.007638889,189,E06000014,5,289,6,30,3,4,6,4810,0,0,4,1,1,0,0,1,1,E01013418
2.01E+12,460672,451245,-1.07692,53.95375,12,2,1,1,40975,3,0.034722222,189,E06000014,3,1036,3,30,0,-1,-1,0,0,0,7,1,1,0,0,1,2,E01013364
2.01E+12,461551,458226,-1.062119,54.016382,12,2,1,1,27/06/2012,4,0.03125,189,E06000014,5,92,6,30,3,4,6,1610,0,0,4,1,1,0,0,1,1,E01013375
2.01E+12,456565,451249,-1.139497,53.95425,12,2,1,1,20/06/2012,4,0.013888889,189,E06000014,6,5910,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01013444
2.01E+12,459257,451151,-1.098499,53.953069,12,2,1,1,15/06/2012,6,0.005555556,189,E06000014,3,59,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01013417
2.01E+12,464381,454304,-1.019764,53.980792,12,2,3,1,41219,2,0.038194444,189,E06000014,3,64,3,70,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01013437
2.01E+12,463673,455071,-1.030398,53.987772,12,2,2,1,41188,1,0.006944444,189,E06000014,3,1036,6,40,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01013409
2.01E+12,455569,453478,-1.154268,53.97439,12,2,1,1,40945,7,0.03125,189,E06000014,3,59,6,60,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01013426
2.01E+12,458795,449811,-1.105796,53.941079,12,2,2,1,30/05/2012,4,0.016666667,189,E06000014,3,1036,6,30,3,4,6,5710,0,0,1,1,1,0,0,1,1,E01013358
2.01E+12,459692,451741,-1.091756,53.958321,12,2,1,1,30/05/2012,4,0.01875,189,E06000014,3,1036,6,30,9,4,3,1036,0,4,1,1,1,0,0,1,1,E01013415
2.01E+12,468152,444950,-0.964355,53.89625,12,2,1,1,41065,1,0.008333333,189,E06000014,5,303,6,30,3,4,5,302,0,0,1,1,1,0,0,2,1,E01013452
2.01E+12,460249,451659,-1.083284,53.95752,12,2,1,1,40913,3,0.03125,189,E06000014,4,1227,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01013366
2.01E+12,461221,451191,-1.068566,53.9532,12,2,2,1,40912,1,0.006944444,189,E06000014,6,7810,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01013363
2.01E+12,460507,451822,-1.07932,53.958954,12,2,1,1,27/03/2012,3,0.034722222,189,E06000014,6,7210,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01013367
2.01E+12,459011,452841,-1.10192,53.968284,12,2,1,1,41246,2,0.010416667,189,E06000014,3,1176,6,30,0,-1,-1,0,0,4,1,1,1,0,0,1,1,E01013346
2.01E+12,463052,460558,-1.038732,54.037158,12,2,1,1,41245,1,0.009027778,189,E06000014,5,90,6,40,3,4,6,0,0,0,1,1,1,0,0,2,1,E01013438
2.01E+12,465680,451210,-1.000624,53.952825,12,2,1,1,38505,1,0.020833333,189,E06000014,4,1228,6,60,0,0,-1,0,0,0,1,1,2,7,0,2,1,E01013351
2.01E+12,464166,454745,-1.022949,53.984782,12,2,2,1,40910,4,0.020833333,189,E06000014,5,95,6,60,3,4,6,0,0,0,6,5,2,0,0,2,1,E01013437
2.01E+12,456910,450325,-1.134413,53.945909,12,2,1,1,17/01/2012,3,0.020833333,189,E06000014,6,5610,6,30,3,4,6,0,0,0,1,8,4,0,0,1,1,E01013447
2.01E+12,456015,450694,-1.14798,53.949322,12,2,2,2,17/01/2012,3,0.004861111,189,E06000014,3,1237,6,60,0,-1,-1,0,0,0,1,1,2,0,0,2,1,E01013421
2.01E+12,459477,457060,-1.093995,54.006146,12,2,2,1,41122,1,0.017361111,189,E06000014,4,1363,6,60,8,4,6,0,0,0,1,1,2,0,0,2,1,E01013377
2.01E+12,457415,451382,-1.126521,53.955352,12,2,2,1,41061,6,0.03125,189,E06000014,4,1224,1,30,1,4,5,285,0,0,1,1,4,0,0,1,1,E01013441
2.01E+12,469375,449837,-0.94464,53.940005,12,2,1,1,40909,1,0.016666667,189,E06000014,6,0,6,60,0,-1,-1,0,0,0,6,1,2,0,0,2,1,E01013351
2.01E+12,464798,452022,-1.013891,53.960233,12,2,1,1,29/12/2013,1,0.024305556,189,E06000014,3,64,3,70,0,-1,-1,0,0,0,6,1,2,0,0,2,1,E01013419
2.01E+12,460310,451680,-1.08235,53.957701,12,2,1,2,38688,7,0.013888889,189,E06000014,6,0,6,30,3,4,6,0,0,4,4,1,2,0,0,1,1,E01013366
2.01E+12,459676,455905,-1.091186,53.995744,12,2,2,1,24/12/2013,3,0.010416667,189,E06000014,4,1363,1,60,1,4,3,1237,0,0,1,1,1,0,0,2,1,E01013431
2.01E+12,459151,450651,-1.100211,53.948588,12,2,2,1,24/12/2013,3,0.030555556,189,E06000014,3,1036,6,30,3,4,6,5710,0,8,1,1,1,0,0,1,1,E01013417
2.01E+12,458277,448926,-1.113855,53.933185,12,2,1,1,18/12/2013,4,0.003472222,189,E06000014,6,5510,6,30,1,4,3,1036,0,8,4,2,2,0,0,1,1,E01013355
2.01E+12,459693,452882,-1.091518,53.968575,12,2,1,1,17/12/2013,3,0.013888889,189,E06000014,6,3110,6,20,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01013344
2.01E+12,461079,449059,-1.071156,53.934057,12,2,2,1,13/12/2013,6,0.03125,189,E06000014,3,19,6,30,8,4,6,0,0,4,1,2,2,0,0,1,1,E01013365
2.01E+12,461236,452661,-1.068044,53.966409,12,2,2,1,13/12/2013,6,0.020833333,189,E06000014,3,1036,6,30,3,4,6,7410,0,0,4,1,2,0,0,1,1,E01013382
2.01E+12,457922,451454,-1.118783,53.955943,12,2,1,2,41498,1,0.029861111,189,E06000014,4,1224,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01013396
2.01E+12,458028,451434,-1.117171,53.955752,12,2,1,1,20/11/2013,4,0.020138889,189,E06000014,4,1224,6,30,3,4,6,5710,0,8,4,1,2,0,0,1,1,E01013396
