Accident_Index,Location_Easting_OSGR ,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
2.01E+12,461710,452620,-1.060827,53.965984,12,3,2,1,40644,6,0,189,E06000014,5,408,6,30,3,4,6,0,0,0,4,1,2,0,0,1,1,E01013380
2.01E+12,462630,454820,-1.046354,53.985644,12,3,1,1,40674,7,0.003472222,189,E06000014,5,415,1,30,1,4,6,0,0,0,1,1,2,0,0,1,2,E01013409
2.01E+12,459070,452880,-1.101014,53.968628,12,3,2,1,40705,1,0.001388889,189,E06000014,3,1176,6,30,3,4,6,3010,0,0,1,1,1,0,0,1,1,E01013346
2.01E+12,460850,452090,-1.07404,53.961323,12,3,2,1,40705,1,0.036805556,189,E06000014,3,1036,6,30,3,2,6,0,0,0,4,1,1,0,0,1,1,E01013367
2.01E+12,461560,452800,-1.063077,53.967619,12,3,2,1,40735,2,0.034722222,189,E06000014,3,1036,6,30,1,4,6,0,0,0,1,1,1,0,0,1,1,E01013380
2.01E+12,458610,455470,-1.107528,53.991956,12,3,2,1,40705,1,0.020833333,189,E06000014,3,1237,1,30,1,4,3,1237,0,0,1,1,1,0,0,2,2,E01013429
2.01E+12,460460,451350,-1.08013,53.954718,12,3,1,1,40766,3,0,189,E06000014,4,1227,3,30,3,2,6,0,0,0,1,2,2,5,0,1,1,E01013367
2.01E+12,461320,452460,-1.066803,53.964592,12,3,1,1,40766,3,0.006944444,189,E06000014,6,7510,6,30,0,-1,-1,0,0,0,1,8,2,4,0,1,1,E01013383
2.01E+12,463730,451920,-1.030187,53.959449,12,3,1,1,40827,5,0.038194444,189,E06000014,5,175,6,30,3,4,6,0,0,0,6,1,1,0,0,1,1,E01013420
2.01E+12,460300,451680,-1.082503,53.957702,12,3,2,1,40797,4,0.013888889,189,E06000014,4,1227,6,30,6,4,6,0,0,4,4,1,2,0,0,1,2,E01013366
2.02E+12,460065,453661,-1.08572,53.975551,12,3,2,1,20/05/2017,7,0.534722222,189,E06000014,6,3110,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01013347
2.02E+12,460904,458177,-1.072028,54.016035,12,3,2,1,16/05/2017,3,0.743055556,189,E06000014,5,94,6,30,1,4,5,92,0,0,1,1,1,0,0,1,2,E01013370
2.01E+12,465180,452200,-1.008031,53.961785,12,3,2,1,13/11/2011,1,0.03125,189,E06000014,5,175,6,30,3,4,6,0,0,0,1,1,1,0,0,2,2,E01013419
2.01E+12,457940,451440,-1.11851,53.955815,12,3,2,1,17/11/2011,5,0.013194444,189,E06000014,4,1224,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01013396
2.01E+12,461760,460380,-1.058493,54.035714,12,3,1,1,17/11/2011,5,0.011111111,189,E06000014,6,1811,6,60,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01013440
2.02E+12,457904,452336,-1.118914,53.96389,12,3,2,4,19/05/2017,6,0.666666667,189,E06000014,3,59,6,30,3,4,6,2810,0,0,1,1,2,0,0,1,1,E01013392
2.02E+12,461804,454430,-1.059054,53.982257,12,3,2,1,19/05/2017,6,0.340277778,189,E06000014,5,414,6,30,3,4,6,3610,0,0,1,2,2,0,0,2,1,E01013406
2.02E+12,460630,449775,-1.077876,53.940564,12,3,2,1,17/05/2017,4,0.377777778,189,E06000014,6,4810,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01013362
2.01E+12,469330,449550,-0.94539,53.937432,12,3,1,1,23/11/2011,4,0.013194444,189,E06000014,5,299,6,60,0,-1,-1,0,0,0,1,1,1,7,0,2,1,E01013351
2.01E+12,457680,454800,-1.121838,53.98604,12,3,2,1,23/11/2011,4,0.017361111,189,E06000014,3,19,6,40,3,4,6,3210,0,0,1,1,1,0,0,1,1,E01013432
2.02E+12,467655,453868,-0.969972,53.976476,12,3,3,2,14/05/2017,1,0.720833333,189,E06000014,3,166,6,60,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01013351
2.02E+12,462159,453180,-1.053896,53.970982,12,3,1,1,43013,4,0.645833333,189,E06000014,5,95,6,30,6,4,6,4110,0,1,1,1,1,0,0,1,2,E01013379
2.01E+12,459700,458440,-1.090323,54.018522,12,3,3,3,23/11/2011,4,0,189,E06000014,5,92,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01013377
